ArXiV id,Result,Where
1705.03618,Found,"Repo: github - ('eskang', 'MappingSynthesisTool')"
1712.03201,Not found,
1711.04076,Not found,
1707.06858,Not found,
1709.00911,Not found,
1707.00838,Not found,
1703.03631,Not found,
1708.07232,Not found,
1709.03221,Not found,
1709.08852,Not found,
1706.06291,Found,"Repo: github - ('gasevi', 'pyreclab')"
1712.09797,Not found,
1703.02394,Not found,
1707.06742,Not found,
1707.05272,Not found,
1710.07956,Not found,
1711.04188,Not found,
1706.04741,Not found,
1702.02977,Not found,
1703.03897,Not found,
1711.07148,Not found,
1705.09170,Not found,
1704.04798,Not found,
1710.06711,Found,"Repo: github - ('ComFlux', 'ComFlux-Middleware')"
1711.05410,Not found,
1708.09002,Not found,
1704.04189,Not found,
1709.07101,Not found,
1703.04993,Not found,
1703.10361,Not found,
1712.00865,Not found,
1707.08411,Not found,
1703.04990,Not found,
1702.07138,Not found,
1712.02227,Not found,
1704.07469,Not found,
1701.08471,Not found,
1704.04558,Not found,
1704.05551,Not found,
1708.00279,Not found,
1709.10078,Not found,
1706.02217,Not found,
1702.07735,Not found,
1704.07551,Not found,
1703.06823,Not found,
1704.02824,Not found,
1709.05768,Not found,
1710.09074,Not found,
1711.01661,Not found,
1712.08342,Not found,
1703.03657,Not found,
1712.06796,Not found,
1703.02510,Not found,
1707.05005,Not found,
1701.02682,Not found,
1705.03860,Not found,
1704.00234,Not found,
1704.03397,Not found,
1705.10032,Not found,
1712.07440,Not found,
1703.08005,Not found,
1705.00519,Not found,
1706.00947,Not found,
1710.04936,Not found,
1705.07867,Not found,
1711.11438,Not found,
1703.06573,Not found,
1706.00166,Not found,
1706.06369,Not found,
1701.05327,Not found,
1703.06337,Not found,
1704.03356,Not found,
1704.01398,Not found,
1707.02833,Not found,
1710.08195,Not found,
1711.03397,Not found,
1706.03232,Not found,
1711.09054,Not found,
1712.07204,Not found,
1702.08725,Found,"Repo: github - ('jazzbob', 'bv')"
1708.07224,Not found,
1703.08527,Not found,
1704.08395,Not found,
1708.01473,Not found,
1709.04255,Not found,
1704.03521,Not found,
1704.05316,Not found,
1703.09613,Not found,
1709.07037,Not found,
1703.06575,Not found,
1712.08348,Not found,
1703.00619,Not found,
1703.02458,Not found,
1706.08817,Not found,
1705.08399,Not found,
1709.02560,Not found,
1712.09569,Not found,
1703.06574,Not found,
1711.01758,Not found,
1702.06689,Not found,
1706.01130,Not found,
1703.10873,Not found,
1706.05042,Not found,
1702.08008,Not found,
1702.07103,Not found,
1708.03236,Not found,
1706.09628,Not found,
1708.01787,Not found,
1711.08853,Not found,
1701.05739,Not found,
1707.06022,Not found,
1712.06025,Not found,
1703.08803,Not found,
1710.01139,Not found,
1704.02774,Not found,
1706.03167,Not found,
1701.08302,Not found,
1711.09288,Not found,
1708.08613,Not found,
1709.08481,Not found,
1712.07804,Not found,
1708.00278,Not found,
1701.05497,Not found,
1709.04626,Not found,
1710.03979,Not found,
1708.02363,Not found,
1706.08136,Not found,
1709.03300,Not found,
1701.00117,Not found,
1708.00275,Not found,
1706.02777,Not found,
1709.10077,Not found,
1712.00242,Not found,
1705.05501,Not found,
1703.04518,Not found,
1702.05997,Not found,
1707.01536,Not found,
1701.00416,Not found,
1711.00740,Not found,
1705.07358,Not found,
1702.05724,Not found,
1706.01636,Not found,
1704.05920,Not found,
1712.00252,Not found,
1711.07451,Not found,
1702.05060,Not found,
1701.05789,Not found,
1706.08605,Not found,
1708.02393,Not found,
1710.01943,Not found,
1707.04742,Not found,
1706.00933,Not found,
1712.00676,Not found,
1710.09722,Found,"Repo: github - ('Spirals-Team', 'runtime-repair-experiments')"
1703.05341,Not found,
1704.00978,Not found,
1705.02506,Not found,
1708.05279,Not found,
1712.05264,Not found,
1704.05008,Not found,
1703.00757,Found,"Repo: github - ('zenscr', 'PyPRSVT')"
1703.03892,Not found,
1702.07643,Not found,
1701.05467,Not found,
1710.00564,Not found,
1708.00992,Not found,
1705.08169,Not found,
1703.06125,Not found,
1708.07422,Not found,
1702.03457,Not found,
1712.10058,Not found,
1711.10713,Not found,
1703.10813,Not found,
1704.01696,Not found,
1704.01544,Not found,
1701.02648,Not found,
1704.08073,Not found,
1703.10669,Not found,
1709.00266,Not found,
1707.01123,Not found,
1708.02618,Not found,
1703.09567,Not found,
1711.11521,Not found,
1709.09242,Not found,
1701.08470,Not found,
1707.01927,Not found,
1707.02327,Not found,
1709.02823,Not found,
1703.05903,Not found,
1701.04217,Not found,
1705.09413,Not found,
1706.04578,Not found,
1711.04030,Not found,
1703.06572,Not found,
1711.09327,Not found,
1710.03928,Not found,
1706.02769,Not found,
1710.05720,Not found,
1705.07359,Not found,
1710.00903,Not found,
1708.09494,Not found,
1708.06988,Not found,
1710.03129,Not found,
1702.05849,Not found,
1705.11087,Not found,
1705.03250,Not found,
1710.08736,Not found,
1702.04872,Not found,
1701.07232,Not found,
1707.00144,Not found,
1708.01423,Not found,
1702.00364,Not found,
1711.09192,Not found,
1708.05442,Not found,
1703.09603,Not found,
1704.03391,Not found,
1703.00198,Not found,
1709.00928,Not found,
1709.02396,Not found,
1707.06782,Not found,
1707.09252,Not found,
1712.01207,Not found,
1701.01673,Not found,
1708.02052,Not found,
1708.01650,Not found,
1701.03826,Not found,
1702.08571,Not found,
1709.09029,Not found,
1709.10255,Not found,
1703.02256,Not found,
1704.03329,Not found,
1708.02884,Not found,
1706.02259,Not found,
1705.06429,Not found,
1709.06017,Not found,
1708.02174,Not found,
1703.07037,Not found,
1703.09602,Not found,
1705.02395,Not found,
1709.04621,Not found,
1701.07950,Not found,
1701.03507,Not found,
1709.05291,Not found,
1710.07430,Not found,
1701.08466,Not found,
1711.06581,Not found,
1712.09835,Not found,
1703.03994,Not found,
1709.04638,Not found,
1701.08310,Not found,
1708.06623,Not found,
1708.02380,Not found,
1705.11000,Not found,
1710.09323,Not found,
1702.01783,Not found,
1702.05568,Not found,
1712.08285,Not found,
1703.01426,Not found,
1707.02511,Not found,
1705.02899,Not found,
1710.03107,Not found,
1708.07230,Found,"Repo: github - ('shaunazzopardi', 'clarva')"
1704.00032,Not found,
1704.04383,Not found,
1702.03906,Not found,
1705.05087,Not found,
1702.05701,Not found,
1705.06058,Not found,
1702.04311,Not found,
1702.06968,Not found,
1705.05170,Not found,
1701.08467,Not found,
1704.00074,Not found,
1704.04378,Not found,
1708.09492,Not found,
1704.08500,Not found,
1703.04298,Not found,
1708.08765,Not found,
0909.5012,Not found,
0903.4875,Not found,
0907.3583,Not found,
0901.0179,Not found,
0906.2512,Not found,
0910.1901,Not found,
0906.2446,Not found,
0906.1359,Not found,
0906.4149,Not found,
0907.2039,Not found,
0906.3924,Not found,
0902.1610,Not found,
0909.1977,Not found,
0907.1238,Not found,
0911.5446,Not found,
0908.0833,Not found,
0909.1361,Not found,
0907.2485,Not found,
0903.0889,Not found,
0906.2447,Not found,
0912.2553,Not found,
0905.4226,Not found,
0902.3136,Not found,
0904.4708,Not found,
0906.3930,Not found,
0906.4837,Not found,
0911.3456,Not found,
0907.2974,Not found,
0902.2621,Not found,
0904.0087,Not found,
0909.0884,Not found,
0901.2310,Not found,
0903.2207,Not found,
0907.1978,Not found,
0906.3921,Not found,
0907.3085,Not found,
0912.2554,Not found,
0912.2555,Not found,
0912.0433,Not found,
0912.1903,Not found,
0910.5046,Not found,
0903.1032,Not found,
0905.2355,Not found,
0909.5087,Not found,
0905.1362,Not found,
0902.0019,Not found,
