arxiv_id,url
1812.04852,https://github.com/susperius/icisc_rnnfuzz
1812.04894,https://github.com/LamotheMax/A3
1812.05033,https://github.com/Practical-Formal-Methods/adiff
1812.07170,https://github.com/hideakihata/NMTbasedCorrectivePatchGenerationDataset
1812.07867,http://doi.org/10.5281/zenodo.2243113
1812.08253,https://doi.org/10.5281/zenodo.1346047
1812.08815,https://doi.org/10.5281/zenodo.1487596
1812.09961,https://github.com/m-zakeri/iust_deep_fuzz
1812.11875,https://github.com/FoRTE-Research/UnTracer-AFL
1812.11875,https://github.com/FoRTE-Research/afl-fid
1812.11875,https://github.com/FoRTE-Research/FoRTE-FuzzBench
1901.01327,https://github.com/mileschen360/Higgs
1901.01621,https://github.com/Derek-Jones/SiP_dataset
1901.01808,https://github.com/kth/SequenceR
1901.02533,https://github.com/castor-software/journey-paper-replication
1901.02533,https://github.com/DIVERSIFY-project/sosiefier
1901.02819,https://doi.org/10.5281/zenodo.3341585
1901.06024,https://github.com/bears-bugs/saner2019-data
1901.06024,https://github.com/bears-bugs/bears-benchmark
1901.07910,https://github.com/ojrlopez27/nl-service-composition
1902.00549,https://doi.org/10.5281/zenodo.2541933
1902.00549,https://doi.org/10.5281/zenodo.2541913
1902.02467,https://github.com/yusufsn/DifferentDiffAlgorithms
1902.02703,https://github.com/d-and-c/d-and-c
1902.03147,https://github.com/lfd/PaStA
1902.08482,https://github.com/STAMP-project/dspot
1903.00884,https://github.com/yaxirhuxxain/Source-Code-Suggestion
1903.01742,https://github.com/wogscpar/SZZUnleashed
1903.01899,https://github.com/antoineBarbez/SMAD
1903.03676,https://github.com/miranska/restore
1903.05394,https://github.com/castor-software/oss-graph-metrics
1903.05734,https://github.com/mast-group/OpenVocabCodeNLM
1903.06089,https://doi.org/10.5281/zenodo.2574189
1903.06965,https://github.com/askaratas/Feather
1903.08409,https://github.com/SerVal-DTF/TBar
1903.09522,https://github.com/collab-uniba/emse_best-answer-prediction
1903.10180,https://doi.org/10.5281/zenodo.2587483
1904.00720,https://github.com/LittleYUYU/CoaCor
1904.01754,https://github.com/KTH/styler
1904.01754,https://github.com/KTH/checkstylerr
1904.04104,https://doi.org/10.5281/zenodo.2565435
1904.04706,https://github.com/dependable-ai/nn-dependability-kit
1904.06499,https://github.com/emsejournal/openscience
1904.06929,https://doi.org/10.5281/zenodo.2558730
1904.09416,https://github.com/tdurieux/travis-listener
1905.01719,https://github.com/sillywalk/defect-prediction
1905.05358,http://github.com/ai-se/SatSpaceExpo
1905.06944,https://github.com/trailofbits/echidna
1905.07019,https://github.com/ai-se/Data-for-automated-UI-testing-from-LexisNexis
1905.07831,https://github.com/ARiSE-Lab/DeepInspect
1905.08942,https://github.com/HDI-Project/MLBlocks
1905.08942,https://github.com/HDI-Project/BTB
1905.08942,https://github.com/HDI-Project/AutoBazaar
1905.09375,https://github.com/TQRG/BugSwarm
1905.11973,https://github.com/program-repair/RepairThemAll_experiment
1905.11973,https://github.com/program-repair/RepairThemAll
1905.13062,https://github.com/collab-uniba/personality
1905.13334,https://github.com/mast-group/mineSStuBs
1906.00621,https://github.com/dessertlab/fantastic_beasts
1906.00772,https://github.com/ojrlopez27/copernic
1906.01420,https://github.com/orlenyslp/Caterpillar
1906.02533,https://github.com/Lizenan1995/DNNOpAcc
1906.04357,https://doi.org/10.5281/zenodo.2556642
1906.05676,https://github.com/alibaba/Sionnx
1906.07535,https://github.com/gleisonbt/migrating-to-graphql
1906.07900,https://github.com/chenwangnida/Dataset
1906.08094,https://github.com/sh1doy/summarization_tf
1906.08142,https://github.com/thomas-vogel/sapienzdiv-ssbse19
1906.11072,http://doi.org/10.5281/zenodo.3257378
1906.11351,https://github.com/bfsc/qmethod
1907.00172,https://gitlab.com/jllang/adapro
1907.00863,https://github.com/jku-ssw/gcc-builtin-study
1907.02997,https://github.com/hussien89aa/MigrationMiner
1907.03407,https://github.com/NAIST-SE/Vulnerability-Fix-Lags-Release-Adoption-Propagation
1907.03890,https://github.com/trailofbits/manticore
1907.04262,https://github.com/SRI-CSL/solidity
1907.05620,https://github.com/SerVal-DTF/iFixR
1907.06274,https://github.com/ualberta-smr/conflict-prediction
1907.08337,https://github.com/PLaSSticity/Raptor
1907.08710,https://github.com/PinjiaHe/StructureInvariantTesting
1907.09003,https://github.com/UPHF/kotlin_features
1907.10121,https://github.com/scipy/scipy
1907.11073,https://github.com/bommarito-consulting/pypi-research-data
1907.12214,http://doi.org/10.5281/zenodo.3345339
1907.12383,https://github.com/soad003/TheOperationalCostOfEthereumAirdrops
1907.12415,https://github.com/nantiamak/sql4ml
1907.13039,https://github.com/KTH/royal-chaos
1908.00614,https://github.com/danaderp/SecureReqNet
1908.00827,https://github.com/clowee/The-Technical-Debt-Dataset
1908.00827,https://github.com/clowee/OpenSZZ
1908.01540,https://github.com/mull-project/mull
1908.03461,https://doi.org/10.5281/zenodo.3691675
1908.05940,https://doi.org/10.5281/zenodo.3405371
1908.06502,https://github.com/khesoem/Defects4J-Plus-M
1908.06676,https://doi.org/10.5281/zenodo.2653924
1908.06895,https://github.com/castor-software/decompilercmp
1908.08615,https://github.com/beyondacm/SmartEmbed
1908.09757,https://github.com/castor-software/core-83
1908.09876,https://github.com/jacsonrbinf/bulner
1908.09878,https://github.com/crytic/slither
1908.10754,https://github.com/schibsted/jslt
1909.00427,https://github.com/mwshinn/paranoidscientist
1909.00769,https://github.com/umairzahmed/tegcer
1909.01837,https://github.com/dattasiddhartha/DeepObfusCode
1909.03249,https://github.com/clowee/MicroserviceDataset
1909.04368,https://github.com/AGAPIA/BTreeGeneticFramework
1909.04503,https://github.com/arducode-aes/arducode
1909.06251,https://github.com/v2-project/v2
1909.06987,https://github.com/Tbabm/PRSummarizer
1909.07249,https://github.com/fastread/SLR_on_TCP
1909.08604,https://github.com/ucuapps/modelicagym
1909.09029,https://doi.org/10.5281/zenodo.3403077
1909.09436,https://github.com/github/CodeSearchNet
1909.09543,https://github.com/processquerying/PQL
1909.10309,https://github.com/hiroto-takatoshi/XLM
1909.10309,https://github.com/hiroto-takatoshi/ProgLMBug
1909.11436,https://doi.org/10.5281/zenodo.4302713
1909.12563,https://github.com/pieterhartel/Mutation-at-scale
1909.13058,https://github.com/singhalshubh/SAT_Parallelism
1909.13090,https://github.com/tatsuhirotsuchiya/SA4LA
1909.13694,https://github.com/KTH/drr
1910.00262,http://github.com/helges/tetraband
1910.00409,https://github.com/logpai/logzip
1910.00739,https://github.com/Open-UAV/openuav-turbovnc
1910.02216,https://github.com/rajasagashe/juice
1910.02513,http://doi.org/10.5281/zenodo.3457479
1910.02688,https://github.com/anonymous54351/TransRepair
1910.04436,https://github.com/definelicht/hlslib
